year_index,report_year,utility_id_eia,utility_name_eia,short_form,state,residential_pv_sold_to_utility_mwh,commercial_pv_sold_to_utility_mwh,industrial_pv_sold_to_utility_mwh,transportation_pv_sold_to_utility_mwh,total_pv_sold_to_utility_mwh,residential_pv_capacity_mw,commercial_pv_capacity_mw,industrial_pv_capacity_mw,transportation_pv_capacity_mw,total_pv_capacity_mw,residential_pv_customers,commercial_pv_customers,industrial_pv_customers,transportation_pv_customers,total_pv_customers,residential_wind_sold_to_utility_mwh,commercial_wind_sold_to_utility_mwh,industrial_wind_sold_to_utility_mwh,transportation_wind_sold_to_utility_mwh,total_wind_sold_to_utility_mwh,residential_wind_capacity_mw,commercial_wind_capacity_mw,industrial_wind_capacity_mw,transportation_wind_capacity_mw,total_wind_capacity_mw,residential_wind_customers,commercial_wind_customers,industrial_wind_customers,transportation_wind_customers,total_wind_customers,residential_chp_cogen_sold_to_utility_mwh,commercial_chp_cogen_sold_to_utility_mwh,industrial_chp_cogen_sold_to_utility_mwh,transportation_chp_cogen_sold_to_utility_mwh,total_chp_cogen_sold_to_utility_mwh,residential_chp_cogen_capacity_mw,commercial_chp_cogen_capacity_mw,industrial_chp_cogen_capacity_mw,transportation_chp_cogen_capacity_mw,total_chp_cogen_capacity_mw,residential_chp_cogen_customers,commercial_chp_cogen_customers,industrial_chp_cogen_customers,transportation_chp_cogen_customers,total_chp_cogen_customers,residential_other_sold_to_utility_mwh,commercial_other_sold_to_utility_mwh,industrial_other_sold_to_utility_mwh,transportation_other_sold_to_utility_mwh,total_other_sold_to_utility_mwh,residential_other_capacity_mw,commercial_other_capacity_mw,industrial_other_capacity_mw,transportation_other_capacity_mw,total_other_capacity_mw,residential_other_customers,commercial_other_customers,industrial_other_customers,transportation_other_customers,total_other_customers,residential_total_sold_to_utility_mwh,commercial_total_sold_to_utility_mwh,industrial_total_sold_to_utility_mwh,transportation_total_sold_to_utility_mwh,total_total_sold_to_utility_mwh,residential_total_capacity_mw,commercial_total_capacity_mw,industrial_total_capacity_mw,transportation_total_capacity_mw,total_total_capacity_mw,residential_total_customers,commercial_total_customers,industrial_total_customers,transportation_total_customers,total_total_customers,pv_current_flow_type,balancing_authority_code_eia,residential_storage_pv_capacity_mw,commercial_storage_pv_capacity_mw,industrial_storage_pv_capacity_mw,transportation_storage_pv_capacity_mw,total_storage_pv_capacity_mw,residential_storage_pv_energy_capacity_mwh,commercial_storage_pv_energy_capacity_mwh,industrial_storage_pv_energy_capacity_mwh,transportation_storage_pv_energy_capacity_mwh,total_storage_pv_energy_capacity_mwh,residential_storage_pv_customers,commercial_storage_pv_customers,industrial_storage_pv_customers,transportation_storage_pv_customers,total_storage_pv_customers,residential_virtual_pv_capacity_mw,commercial_virtual_pv_capacity_mw,industrial_virtual_pv_capacity_mw,transportation_virtual_pv_capacity_mw,total_virtual_pv_capacity_mw,residential_virtual_pv_customers,commercial_virtual_pv_customers,industrial_virtual_pv_customers,transportation_virtual_pv_customers,total_virtual_pv_customers,residential_virtual_pv_under_1mw_capacity_mw,commercial_virtual_pv_under_1mw_capacity_mw,industrial_virtual_pv_under_1mw_capacity_mw,transportation_virtual_pv_under_1mw_capacity_mw,total_virtual_pv_under_1mw_capacity_mw,residential_virtual_pv_under_1mw_customers,commercial_virtual_pv_under_1mw_customers,industrial_virtual_pv_under_1mw_customers,transportation_virtual_pv_under_1mw_customers,total_virtual_pv_under_1mw_customers,residential_virtual_pv_over_1mw_capacity_mw,commercial_virtual_pv_over_1mw_capacity_mw,industrial_virtual_pv_over_1mw_capacity_mw,transportation_virtual_pv_over_1mw_capacity_mw,total_virtual_pv_over_1mw_capacity_mw,residential_virtual_pv_over_1mw_customers,commercial_virtual_pv_over_1mw_customers,industrial_virtual_pv_over_1mw_customers,transportation_virtual_pv_over_1mw_customers,total_virtual_pv_over_1mw_customers,residential_storage_nonpv_capacity_mw,commercial_storage_nonpv_capacity_mw,industrial_storage_nonpv_capacity_mw,transportation_storage_nonpv_capacity_mw,total_storage_nonpv_capacity_mw,residential_storage_nonpv_energy_capacity_mwh,commercial_storage_nonpv_energy_capacity_mwh,industrial_storage_nonpv_energy_capacity_mwh,transportation_storage_nonpv_energy_capacity_mwh,total_storage_nonpv_energy_capacity_mwh,residential_storage_nonpv_customers,commercial_storage_nonpv_customers,industrial_storage_nonpv_customers,transportation_storage_nonpv_customers,total_storage_nonpv_customers,early_release
2012,0,1,2,-1,3,14,15,16,17,18,4,5,6,7,8,9,10,11,12,13,29,30,31,32,33,19,20,21,22,23,24,25,26,27,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,44,45,46,47,48,34,35,36,37,38,39,40,41,42,43,59,60,61,62,63,49,50,51,52,53,54,55,56,57,58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2013,0,1,2,-1,3,14,15,16,17,18,4,5,6,7,8,9,10,11,12,13,29,30,31,32,33,19,20,21,22,23,24,25,26,27,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,44,45,46,47,48,34,35,36,37,38,39,40,41,42,43,59,60,61,62,63,49,50,51,52,53,54,55,56,57,58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2014,0,1,2,-1,3,14,15,16,17,18,4,5,6,7,8,9,10,11,12,13,29,30,31,32,33,19,20,21,22,23,24,25,26,27,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,44,45,46,47,48,34,35,36,37,38,39,40,41,42,43,59,60,61,62,63,49,50,51,52,53,54,55,56,57,58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2015,0,1,2,-1,3,14,15,16,17,18,4,5,6,7,8,9,10,11,12,13,29,30,31,32,33,19,20,21,22,23,24,25,26,27,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,44,45,46,47,48,34,35,36,37,38,39,40,41,42,43,59,60,61,62,63,49,50,51,52,53,54,55,56,57,58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2016,0,2,3,-1,1,35,36,37,38,39,5,6,7,8,9,10,11,12,13,14,50,51,52,53,54,40,41,42,43,44,45,46,47,48,49,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65,66,67,68,69,55,56,57,58,59,60,61,62,63,64,80,81,82,83,84,70,71,72,73,74,75,76,77,78,79,4,-1,15,16,17,18,19,-1,-1,-1,-1,-1,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2017,0,2,3,-1,1,36,37,38,39,40,6,7,8,9,10,11,12,13,14,15,51,52,53,54,55,41,42,43,44,45,46,47,48,49,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66,67,68,69,70,56,57,58,59,60,61,62,63,64,65,81,82,83,84,85,71,72,73,74,75,76,77,78,79,80,5,4,16,17,18,19,20,-1,-1,-1,-1,-1,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2018,0,2,3,-1,1,36,37,38,39,40,6,7,8,9,10,11,12,13,14,15,51,52,53,54,55,41,42,43,44,45,46,47,48,49,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66,67,68,69,70,56,57,58,59,60,61,62,63,64,65,81,82,83,84,85,71,72,73,74,75,76,77,78,79,80,5,4,16,17,18,19,20,-1,-1,-1,-1,-1,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2019,0,2,3,4,1,37,38,39,40,41,7,8,9,10,11,12,13,14,15,16,52,53,54,55,56,42,43,44,45,46,47,48,49,50,51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67,68,69,70,71,57,58,59,60,61,62,63,64,65,66,82,83,84,85,86,72,73,74,75,76,77,78,79,80,81,6,5,17,18,19,20,21,-1,-1,-1,-1,-1,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2020,0,2,3,-1,1,36,37,38,39,40,6,7,8,9,10,11,12,13,14,15,51,52,53,54,55,41,42,43,44,45,46,47,48,49,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66,67,68,69,70,56,57,58,59,60,61,62,63,64,65,81,82,83,84,85,71,72,73,74,75,76,77,78,79,80,5,4,16,17,18,19,20,-1,-1,-1,-1,-1,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2021,0,2,3,-1,1,36,37,38,39,40,6,7,8,9,10,11,12,13,14,15,51,52,53,54,55,41,42,43,44,45,46,47,48,49,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66,67,68,69,70,56,57,58,59,60,61,62,63,64,65,81,82,83,84,85,71,72,73,74,75,76,77,78,79,80,5,4,16,17,18,19,20,-1,-1,-1,-1,-1,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2022,0,2,3,-1,1,36,37,38,39,40,6,7,8,9,10,11,12,13,14,15,51,52,53,54,55,41,42,43,44,45,46,47,48,49,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66,67,68,69,70,56,57,58,59,60,61,62,63,64,65,81,82,83,84,85,71,72,73,74,75,76,77,78,79,80,5,4,16,17,18,19,20,-1,-1,-1,-1,-1,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023,0,2,3,-1,1,16,17,18,19,20,6,7,8,9,10,11,12,13,14,15,81,82,83,84,85,71,72,73,74,75,76,77,78,79,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,96,97,98,99,100,86,87,88,89,90,91,92,93,94,95,111,112,113,114,115,101,102,103,104,105,106,107,108,109,110,5,4,41,42,43,44,45,51,52,53,54,55,46,47,48,49,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,32,33,34,35,36,37,38,39,40,21,22,23,24,25,26,27,28,29,30,56,57,58,59,60,66,67,68,69,70,61,62,63,64,65,-1
