year_index,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
sales_eia861,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2
mergers_eia861,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
advanced_metering_infrastructure_eia861,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,10,13,1,1,1,1,1,1,1
balancing_authority_eia861,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
operational_data_eia861,0,0,0,0,0,0,0,0,0,0,0,7,8,2,2,2,2,2,2,2
service_territory_eia861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frame_eia861,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
distribution_systems_eia861,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
distributed_generation_eia861,-1,-1,-1,-1,-1,0,0,0,0,0,0,9,10,1,1,1,1,-1,-1,-1
green_pricing_eia861,-1,-1,-1,0,0,0,0,0,0,0,0,10,8,1,-1,-1,-1,-1,-1,-1
net_metering_eia861,-1,-1,-1,0,0,0,0,0,0,0,0,8,8,2,2,2,2,3,2,2
non_net_metering_eia861,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,1
demand_side_management_eia861,0,0,0,0,0,0,0,0,0,0,0,11,11,2,2,2,2,2,2,2
dynamic_pricing_eia861,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,2
demand_response_eia861,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,2
utility_data_eia861,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,1,1,1,1,1,1,1
reliability_eia861,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1
short_form_eia861,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
